ISBN,Authors,Titles
0207133816,C J Dennis,Sentimental Bloke and Other Selected Verse
0207133832,Robert David Fitzgerald,Forty years' poems (A &amp; R modern poets)
0207135231,Robert Travers,The amorous dentist: A true story
0207135444,Kenneth Slessor,Selected poems (A &amp; R modern poets)
0207138486,Lucienne Fontannaz,The Willow Pattern Story
0207142939,Eleanor Dark,No Barrier: Book III of the Timeless Land Trilogy
0207143277,E.M Bard,Cat Intelligence Test
0207143714,Arthur Robins,The World's Best Dirty Jokes (World's Best Jokes)
0207144869,Jacqueline Kent,Out of the bakelite box: The heyday of Australian radio
0207145059,Michael Leunig,Bedtime Leunig
0207145997,Ormonde de Kay,N'heures Souris Rames
0207147884,Miles Franklin,Up the country: A saga of pioneering days
0207148066,John Hurst,Hawke PM
0207149402,Colin Bowles,The Wit's Dictionary
0207149690,Philip Geeves,The best of Geeves: Nostalgic cameos from Australia's past
0207149747,Peter Kocan,The Treatment and the Cure
0207150699,Des MacHale,More of the World's Best Irish Jokes (World's Best Jokes)
0207150885,Dorothy Wall,The Complete Adventures of Blinky Bill
0207151555,Hector Holthouse,S'pose I Die: The Story of Evelyn Maunsell (Outback Classics)
0207151946,James Kemsley,Ginger Meggs At Large
0207152241,John Hulme,Guillaume Chequespierre
0207152977,Kathleen Keating,Little Book of Hugs
0207153116,A.N. Ocker,The World's Best Aussie Jokes (World's Best Series)
0207153671,Carolyn F. Logan,The Power of the Rellard
0207154317,Colin Bowles,G'Day: Teach Yourself Australian in 20 Easy Lessons
0207154627,Robert McCune,World's Best Golf Jokes
0207156638,Jacqueline Kent,In the half light: Life as a child in Australia 1900-1970
0207157545,Timothy Hall,"\Banjo\"" Paterson's high country"""
0207158452,Glenda Adams,Games of the Strong
0207158630,Jack Bennett,Gallipoli
0207158959,Kevin Brophy,Visions
0207159580,Noel Ford,Golf Widows: A Survival Course
0207159718,Frank Moorhouse,Futility and Other Animals
0207159955,Kathleen Keating,The Second Little Book of Hugs
0207160023,Jon Riley,Lost for Words
0207161038,Glenda Adams,Dancing On Coral
020716374X,Johannes Bjelke-Petersen,Don't you worry about that!: The Joh Bjelke-Petersen memoirs
0207166250,Tim Hewat,The Florey: The story of the Sheep Hilton
0207166765,Barbara Siegel,Jack Nicholson: The unauthorised biography
0207166935,Brian A Williams,Blood oath: Based on the screenplay by Denis Whitburn and Brian A. Williams
0207168024,Eleanor Dark,Timeless Land (Imprint Classics)
0207168245,Nancy Bird,My God! it's a woman
0207168717,Cathy Hopkins,Joy of Aromatherapy: Sensual Remedies for Everyday Ailments
0207168776,Jo Donnelly,Great Lies - the Ultimate Fibber's Handbook
0207168814,Sheridan Rogers,The Cook's Garden
020716892X,Glenda Adams,Longleg
0207168997,Inez Baranay,The Edge of Bali
0207169519,John Forbes,New and selected poems (A &amp; R modern poets)
0207169527,Mudrooroo Narogin,"Master of the Ghost Dreaming: A Novel (Imprint (Sydney, N.S.W.).)"
0207169616,Ken Englade,Beyond reason
0207169918,David Dale,The Obsessive Traveller: Or Why I Don't Steal Towels from Great Hotels Any More
020717024X,Xavier Herbert,Capricornia
0207170517,Sheena Knowles,Edward the Emu
020717055X,Beth Yahp,Crocodile Fury
0207170983,A.B. Paterson,Waltzing Matilda
0207171084,James Oram,Reluctant star: The Mel Gibson story (Fontana original)
0207172129,Barry Humphries,Neglected poems and other creatures
0207172455,Nette Hilton,The Web
0207172803,David Malouf,David Malouf: Selected Poems (A &amp; R Modern Poets)
0207173265,Eleanor Dark,Storm of time (Imprint classics)
0207174466,Mudrooroo,Wildcat Falling (Imprint Classics)
0207175284,Peter Corris,The Japanese job (Blacklist)
0207176124,Alister Kershaw,Village to Village: Misadventures in France
0207177120,Mudrooroo Narogin,"Wildcat Screaming: A Novel (Imprint (Sydney, N.S.W.).)"
0207177376,Peter Goldsworthy,Honk if you are Jesus (Imprint)
0207178496,Anna Tochter,My Mother Always Used to Say
0207178550,Jackie French,Book of Thyme
0207180148,Robert Holden,Verse Ahoy: Early Australian Nursery Rhymes
0207180342,Robyn Davidson,Travelling Light (Imprint Travel)
020718089X,Mary Small,Saddle Up Again
0207183554,Norman Lindsay,The Magic Pudding
0207184364,Charmaine Solomon,Complete Vegetarian Cookbook
0207184984,Geoff Taylor,Whale Sharks: The Giants of Ningaloo Reef
0207186006,Jane Anderson,Sleep on It and Change Your Life
0207186332,Ian Cohen,Green fire: [a powerful account of the Australian environmental protest movement]
0207186359,Susan Errington,Olive Street
0207186375,Pamela Allardice,Lines on Lust
0207186499,Jackie French,The Secret Beach
0207186812,Susan Mitchell,The scent of power
0207187266,Emily Rodda,Pigs Might Fly (Bluegum)
0207187320,George Johnston,My Brother Jack
0207187495,Sally Odgers,Taking a Chance (Young Bluegum)
0207188033,"R., Dr. Brasch",A Book of Forgiveness
0207188173,Belinda Henwood,The How-to of Being a Working Mother (Parenting Series)
0207188378,Jean Conil,The Flavors of France: Fabulous Vegetarian Cuisine for Every Occasion : An Earthly Delight Cookbook
0207189005,Ross Horne,Cancerproof Your Body
0207189110,Peter Goldsworthy,Wish
0207189331,Mandy Sayer,The Cross
0207189412,Steve Biddulph,More Secrets of Happy Children
0207189455,Steve Biddulph,The Secret of Happy Children (Parenting Series)
0207189668,Jean-Paul Bruneteau,Tukka: Real Australian food
0207189773,Tony Perrottet,Off the Deep End: Travels in Forgotten Frontiers
0207189897,Alan Hayes,It's So Natural
0207190569,Mudrooroo,Wildcat Falling
020719064X,Beth Yahp,The crocodile fury
0207190968,Lee Harding,Heartsease
0207191158,Jackie French,The Book of Unicorns
0207191239,Nette Hilton,Clouded Edges
0207191433,Paul Collins,Shivers (Shivers)
0207191840,Bronwyn Donaghy,Anna's Story
0207191883,Jen McVeity,You Choose
0207197164,Thomas Keneally,The Chant of Jimmie Blacksmith (Angus &amp; Robertson Classics)
0207197245,Miles Franklin,My Brilliant Career (Angus &amp; Robertson Classics)
0207197326,Mudrooroo,Wild Cat Falling (Angus &amp; Robertson Classics)
0207197687,Mark Thomson,"Meat, Metal, &amp; Fire"
020719839X,Marcus Clarke,For the Term of His Natural Life
0207199256,Kevin Gilbert,Because a White Man'll Never Do It
0207957029,Jack Jackson,The Asian Highway
0207959498,John Hulme,MÃ¶rder Guss reims: Selected poems of Gustav Leberwurst
0207959641,Tristine Rainer,New Diary How to Use a Journal for Self
0208000526,G. P. Gooch,Catherine the Great and Other Studies
0208017763,Roderick Stewart,Bethune
020802249X,Jane Thayer,Gus Loved His Happy Home
0208023143,Margaret MacDonald,Booksharing: One Hundred One Programs to Use With Preschoolers
0208024395,Karen Zeinert,The Amistad Slave Revolt and American Abolition
021316874X,Stephen Tumim,Great legal disasters
0213177900,Colin Wilson,The philosopher's stone
0216884144,Alan C Jenkins,Spy!: An anthology of espionage stories;
0216923905,Allan Baillie,Megan's Star
0216927781,Prue Theobalds,The Teddy Bear Anthology
0220697302,Jack Potter,Assessing the Effectiveness of Advertising
0222009918,E. Genest,Myths of Ancient Greece&amp;Rome (Myths&amp;Legends Series)
0222014598,Marilyn Carroll,Methaqualone: The quest for oblivion (The Encyclopedia of psychoactive drugs)
0222794097,Hans Hsas,The young specialist looks at fungi;
0224006371,John Blackburn,For fear of little men
0224007874,Leonard Cohen,The energy of slaves
0224008080,Alan Aldridge,The Butterfly Ball and the Grasshopper's Feast
0224009273,Robert Payne,The life and death of Adolph Hitler
0224009613,Dick Taverne,The future of the left;: Lincoln and after
022401045X,John Fowles,The ebony tower
0224012274,Wayne Anderson,Ratsmagic
0224013866,Clive James,Visions before midnight
0224014412,Richard Adams,The adventures &amp; brave deeds of the ship's cat on the Spanish Maine: Together with the most lamentable losse of the Alcestis &amp; triumphant firing of the Port of Chagres
022401479X,George Markstein,Tara Kane
0224015613,Doris Lessing,Temptation of Jack Orkney Coll Stor Volume 2
022401594X,Fran Landesman,Invade my privacy
022401692X,Lauren Bacall,"Lauren Bacall, by Myself"
0224017012,Alan Aldridge,The lionÂ®s cavalcade
0224018256,Clive James,Unreliable Memoirs
0224018698,Giles Neville,Incidents in the life of Joseph Grimaldi
0224018906,Clive James,"The crystal bucket: Television criticism from the Observer, 1976-79"
0224019147,J. G Ballard,Hello America
0224020374,Paul Bailey,An English madam: The life and work of Cynthia Payne
0224020897,David A Yallop,In God's name
0224020927,Nicola Bayley,Mouldy
0224021168,Bamber Gascoigne,Quest for the golden hare
0224021893,Nadine Gordimer,Something Out There
0224022121,Clive James,"Flying visits: Postcards from the Observer, 1976-83"
0224022458,Margaret Atwood,Bluebeards Egg and Other Stories
0224022911,Jay McInerney,"Bright Lights, Big City"
0224025546,Brookner,Latecomes
0224025945,Patrick White,Three Uneasy Pieces
0224026305,J. E Treherne,The canning enigma
0224027077,Robert Edric,In the Days of the American Museum
022402924X,Patrick White,Flaws in the glass: A self-portrait
0224030361,Tom Wolfe,Man In Full
022403054X,Sheila Kohler,Miracles in America
0224031457,Jeanette Winterson,Art and Lies Edition
0224031570,Julian Barnes,Talking it over
0224032151,Michael Collins,The meat eaters
0224032275,Phyllis Grosskurth,The secret ring: Freud's inner circle and the politics of psychoanalysis
0224035223,Martin Amis,Time's Arrow
022403572X,Ian McEwan,Black dogs
0224037161,Stephen Jay Gould,Eight Little Piggies Reflections In Natu
0224038141,Salman Rushdie,The Moor's last sigh
0224038249,Martin Amis,"Visiting Mrs. Nabokov, and other excursions"
0224040154,Pope John Paul II,Crossing the Threshold of Hope
0224041320,Stephen Jay Gould,Lifes Grandeur
0224043439,David Dabydeen,The counting house
0224043641,J. Hawes,White Merc with Fins Aus/NZ Tpb
0224044044,Elizabeth McCracken,The Giant's House
0224044192,Salman Rushdie,Ground Beneath Her Feet
0224044680,J. M. Hawes,Dead Long Enough
0224045814,John Burningham,Cloudland (A Tom Maschler Book)
0224048376,Iain Pears,An Instance at the Fingerpost
0224050052,Todd McEwens,Arithmetic
0224050184,Martin Amis,Night Train
0224050273,Neil Cross,Mr In Between
0224050559,Kevin Sampson,Awaydays
0224051261,Martin Amis,Heavy Water and Other Stories
0224051709,Ian McEwan,Amsterdam
0224052756,Julian Barnes,England England
0224052829,Adam Thorpe,Nineteen twenty-one
0224060198,Roddy Doyle,Star Called Henry
0224060376,Mary Morrissy,The Pretender
0224060503,Bruce Chatwin,Winding Paths
0224063316,Chris Paling,The Repentant Morning
0224069233,Roddy Doyle,Rory and Ita
0224603663,Erich Kastner,Lottie and Lisa: A Novel for Children
0224609920,Edna O'Brien,August Is a Wicked Month
0224615300,Fernando Krahn,The possible worlds of Fernando Krahn
0224615335,Kingsley Amis,I want it now
0224617443,Elizabeth Jane Howard,Something in disguise
0224617834,Desmond Morris,The human zoo
0226001393,Laurie Kaye Abraham,Mama Might Be Better Off Dead: The Failure of Health Care in Urban America
0226011135,Susan Hardy Aiken,Isak Dinesen and the Engendering of Narrative (Women Culture and Society)
0226013847,Nelson Algren,Chicago: City on the Make (Illinois)
0226013855,Nelson Algren,Chicago: City on the Make
0226014878,Anne Allison,"Nightwork: Sexuality, Pleasure, and Corporate Masculinity in a Tokyo Hostess Club"
0226020452,Ivo Andric,The Bridge on the Drina (A Phoenix Book ; P746)
0226025934,Hannah Arendt,The Human Condition
0226033961,Ira J. Bach,Chicago's Famous Buildings: A Photographic Guide to the City's Architectural Landmarks and Other Notable Buildings
0226038130,Julia Barrett,Presumption: An Entertainment : A Sequel to Pride and Prejudice
0226038599,Jacques Barzun,"Darwin, Marx, Wagner: Critique of a Heritage"
0226038645,Jacques Barzun,Critical Questions
0226038858,Sylvia B. Bashevkin,Women on the Defensive: Living Through Conservative Times
0226038890,Debbora Battaglia,"On the Bones of the Serpent: Person, Memory, and Mortality in Sabarl Island Society"
0226039269,Charles Baudelaire,Selected Poems from Les Fleurs Du Mal
0226041247,Howard S. Becker,"Tricks of the Trade: How to Think About Your Research While You're Doing It (Chicago Guides to Writing, Editing, and Publishing)"
0226041271,Jurek Becker,Bronstein's Children
0226042154,Hans Belting,Likeness and Presence: A History of the Image Before the Era of Art
0226042758,Plato,Plato's Symposium
0226043886,Thomas Bernhard,The Loser (Phoenix Poets)
0226044408,Peter Bernhardt,The Rose's Kiss
0226044564,Brenda F. Berrian,"Awakening Spaces: French Caribbean Popular Song, Music, and Culture (Chicago Studies in Ethnomusicology)"
0226047865,Nicole Woolsey Biggart,Charismatic Capitalism: Direct Selling Organizations in America
0226051471,Leonard Binder,Islamic Liberalism: A Critique of Development Ideologies
0226058980,Michael Bliss,The Discovery of Insulin
0226059782,Marc Bloch,Feudal Society: The Growth of Ties of Dependence
0226059790,Marc Bloch,Feudal Society: Social Classes and Political Organization
0226060004,Jean F. Block,"Hyde Park Houses: An Informal History, 1856-1910"
0226065537,Wayne C. Booth,A Rhetoric of Irony
0226065553,Wayne Booth,Critical Understanding: The Powers and Limits of Pluralism
0226065588,Wayne C. Booth,The Rhetoric of Fiction
0226065685,Wayne C. Booth,"The Craft of Research (Chicago Guides to Writing, Editing, and Publishing)"
0226066444,David Bornstein,The Price of a Dream: The Story of the Grameen Bank
0226066789,Charles L. Bosk,"Forgive and Remember : Managing Medical Failure, 2nd Edition"
0226067114,John Boswell,"Christianity, Social Tolerance, and Homosexuality: Gay People in Western Europe from the Beginning of the Christian Era to the Fourteenth Century"
0226072614,Wini Breines,"Young, White, and Miserable: Growing Up Female in the Fifties"
0226074838,Asa Briggs,Victorian Things
0226074889,Asa Briggs,"Victorian People: A Reassessment of Persons and Themes, 1851-67"
0226075850,Peter Brooks,Troubling Confessions: Speaking Guilt in Law &amp; Literature
0226078744,Ralph Buchsbaum,Animals Without Backbones
0226088006,Muriel St. Clare Byrne,The Lisle Letters: An Abridgement
0226094979,Raymonde Carroll,Cultural misunderstandings: The French-American experience
0226094987,Raymonde Carroll,Cultural Misunderstandings: The French-American Experience
0226096726,Carlos Castillo,University of Chicago Spanish Dictionary
0226097862,Catherine Caufield,"In the Rainforest/Report from a Strange, Beautiful, Imperiled World"
0226098168,Stanley Cavell,Contesting Tears: The Hollywood Melodrama of the Unknown Woman
0226102459,Dorothy L. Cheney,How Monkeys See the World: Inside the Mind of Another Species
0226103528,John M. Chernoff,Hustling Is Not Stealing: Stories of an African Bar Girl
0226103897,University,"The Chicago Manual of Style: The Essential Guide for Writers, Editors, and Publishers (14th Edition)"
0226103986,Michael Chitwood,The Weave Room (Phoenix Poets)
0226104036,University of Chicago Press Staff,The Chicago Manual of Style
0226107566,Candace Clark,Misery and Company: Sympathy in Everyday Life
0226114368,Bernard Comrie,Language Universals and Linguistic Typology: Syntax and Morphology
0226118622,Maurice Cranston,"Jean-Jacques: The Early Life of Jean-Jacques Rousseau, 1712-1754"
0226118649,Maurice Cranston,The Noble Savage: Jean-Jacques Rousseau 1754-1762
0226118665,Maurice Cranston,The Solitary Self: Jean-Jacques Rousseau in Exile and Adversity
0226118711,Vincent Crapanzano,Tuhami: Portrait of a Moroccan
0226128261,Will Cuppy,How to Become Extinct
0226138097,Fred Davis,"Fashion, Culture, and Identity"
0226138909,William Patrick Day,In the Circles of Fear and Desire: A Study of Gothic Fantasy
0226143163,Jacques Derrida,The Work of Mourning
0226143244,Jacques Derrida,The Truth in Painting
0226143341,Jacques Derrida,Dissemination
0226143813,Boman Desai,The Memory of Elephants (Phoenix Fiction)
0226143929,John Dewey,Child and Curriculum School/Soci
0226153118,Isak Dinesen,Letters from Africa 1914-1931
0226162346,St. Clair Drake,Black Metropolis: A Study of Negro Life in a Northern City
0226164675,Harold Edson Driver,Indians of North America
0226169553,Jean-Paul Dumont,Visayan Vignettes: Ethnographic Traces of a Philippine Island
0226170314,Mitchell Duneier,"Slim's Table: Race, Respectability, and Masculinity"
0226174387,Friedrich Durrenmatt,Judge and His Hangman
0226195457,Margaret A. Eisenhart,Women's Science: Learning and Succeeding from the Margins
0226199908,Ivar Ekeland,Mathematics and the Unexpected
0226199916,Ivar Ekeland,"The Broken Dice, and Other Mathematical Tales of Chance"
0226204006,Mircea Eliade,History of Religious Ideas from the Stone Age to the Eleusinian Mysteries (History of Religious Ideas)
0226204774,Stanley M. Elkins,Slavery: A Problem in American Institutional and Intellectual Life
0226208354,Monroe Engel,Fish (Phoenix Fiction)
0226244954,Franco Ferrucci,The Life of God: (As Told by Himself)
0226244962,Franco Ferrucci,The Life of God: As Told by Himself
0226248232,Judith Veronica Field,Kepler's Geometrical Cosmology
0226252035,John Fitchen,The Construction of Gothic Cathedrals: A Study of Medieval Vault Erection
0226257142,Signithia Fordham,"Blacked Out: Dilemmas of Race, Identity, and Success at Capital High"
0226259382,Richard Wightman Fox,Trials of Intimacy: Love and Loss in the Beecher-Tilton Scandal
0226259870,Veronica Franco,Poems and Selected Letters (The Other Voice in Early Modern Europe)
0226260925,Allen J. Frantzen,Before the Closet: Same-Sex Love from Beowulf to Angels in America
0226264017,Milton Friedman,Capitalism and Freedom
0226264165,Bruce Jay Friedman,A Mother's Kisses
0226278727,Donna Gaines,Teenage Wasteland : Suburbia's Dead End Kids
0226280640,Joshua Gamson,Freaks Talk Back : Tabloid Talk Shows and Sexual Nonconformity
0226282503,Martin Gardner,"Martin Gardner's Sixth Book of Mathematical Diversions from \Scientific American\"""""
0226284239,Walter Garstang,Larval Forms and Other Zoological Verses
0226284468,Barbara T. Gates,"In Nature's Name: An Anthology of Women's Writing and Illustration, 1780-1930"
0226285111,Clifford Geertz,Islam Observed Religious Development in Morocco and
0226285146,Clifford Geertz,Peddlers and Princes: Social Development and Economic Change in Two Indonesian Towns (Comparative Studies of New Nations Ser)
0226286061,Ignace J. Gelb,A Study of Writing
0226290301,Mary Taylor Sumeti,A Taste of Ancient Rome
0226293785,Michael Allen Gillespie,"Nietzsche's New Seas: Explorations in Philosophy, Aesthetics, and Politics"
0226294021,Eileen Gillooly,"Smile of Discontent: Humor, Gender, and Nineteenth-Century British Fiction (Women in Culture &amp; Society (Paperback))"
0226297837,Andreas Glaeser,"Divided in Unity: Identity, Germany, and the Berlin Police"
0226298396,Nathan Glazer,American Judaism (The Chicago history of American civilization)
0226301516,John A. Goldsmith,The Chicago Guide to Your Academic Career: A Portable Mentor for Scholars from Graduate School Through Tenure
0226305066,Alma Gottlieb,Parallel Worlds: An Anthropologist and a Writer Encounter Africa
0226307662,David Grene,The Complete Greek Tragedies: Euripides (Complete Greek Tragedies)
0226307743,David Grene,"Greek Tragedies, Vol. I (Agamemnon, Prometheus Bound, Oedipus the King, Antigone, Hippolytus)"
0226307751,David Grene,"Greek Tragedies (Libation Bearers, Electra (Sophocles), Iphigenia in Tauris,)"
0226307778,David Grene,"Selected Greek Tragedies (Eumenides, Philoctetes, Oedipus at Colonus, the Bacchae, Alc)"
0226307786,Aeschylus,"Aeschylus I: Oresteia (Agamemnon, The Libation Bearers, The Eumenides)"
0226307808,Euripides,Euripides I: The Complete Greek Tragedies (Euripides)
0226307840,Euripides,"Euripides V: Electra, the Phoenician Women, the Bacchae (The Complete Greek Tragedies)"
0226307859,Sophocles,Sophocles One
0226307905,David Grene,Greek Tragedies (Greek Tragedies)
0226307921,Sophocles,"Sophocles I: Oedipus the King, Oedipus at Colonus, Antigone (The Complete Greek Tragedies, Vol 1)"
0226308278,Roger Grenier,The Difficulty of Being a Dog
0226309045,Roy Richard Grinker,In the Arms of Africa: The Life of Colin Turnbull
0226310531,Annibal Guasco,"Discourse to Lady Lavinia His Daughter: Concerning the Manner in Which She Should Conduct Herself When Going to Court As Lady-In-Waiting to the Most Serene Infanta, Lady Caterina, Duchess of (The Other Voice in Early Modern Europe)"
0226311112,James Gustafson,Ethics from a Theocentric Perspective (Ethics from a Theocentric Perspective)
0226317641,Larry D. Harris,The Fragmented Forest: Island Biogeography Theory and the Preservation of Biotic Diversity (Chicago Original Paperback)
0226318842,Molly Haskell,From Reverence to Rape: The Treatment of Women in the Movies
0226320618,F. A. Hayek,The Road to Serfdom
0226320669,F.A. Hayek,The Fatal Conceit: The Errors of Socialism (Collected Works of F a Hayek)
0226320847,Friedrich A. Hayek,The Constitution of Liberty
0226320855,Friedrich A. Hayek,"Studies in Philosophy, Politics, and Economics"
0226320863,F. A. Hayek,"Law, Legislation and Liberty: Rules and Order"
0226321320,Herman Melville,"Billy Budd, Sailor (An Inside Narrative Reading Text and Genetic Text)"
0226322793,Ben Hecht,A Thousand and One Afternoons in Chicago
0226323986,Alexander Heidel,The Gilgamesh Epic and Old Testament Parallels
0226323994,Alexander Heidel,The Babylonian Genesis: The Story of Creation
0226324885,Samuel C Heilman,Synagogue life: A study in symbolic interaction
0226325938,Virginia Held,"Feminist Morality: Transforming Culture, Society, and Politics (Women in Culture and Society)"
0226326314,Ray Helfer,The Battered Child
0226327434,Susan Herbst,Numbered Voices: How Opinion Polling Has Shaped American Politics
0226327647,Didi Herman,The Antigay Agenda: Orthodox Vision and the Christian Right
0226327728,Herodotus,The History: Herodotus
0226327736,Miguel Hernandez,The Selected Poems of Miguel Hernandez
0226348121,Albert Hofstadter,Philosophies of Art and Beauty:  Selected Readings in Aesthetics from Plato to Heidegger
0226388069,Norman Itzkowitz,Ottoman Empire and Islamic Tradition (Phoenix Book)
0226391868,James Jones,The Pistol
0226393747,Randall Jarrell,Pictures from an Institution: A Comedy (Phoenix Fiction)
0226396533,Diamond Jenness,People of the Twilight
0226400158,Harold Joachim,Italian Drawings in the Art Institute of Chicago
0226401650,Pamela Hansford Johnson,The Survival of the Fittest (Phoenix fiction)
0226410390,Mark D. Jordan,"The Invention of Sodomy in Christian Theology (The Chicago Series on Sexuality, History, and Society)"
0226424189,Alice Kaplan,French Lessons: A Memoir
0226424219,Laura Kaplan,The Story of Jane: The Legendary Underground Feminist Abortion Service
0226425924,Leo Katz,Bad Acts and Guilty Minds: Conundrums of the Criminal Law (Studies in Crime and Justice)
0226425940,Leo Katz,"Ill-Gotten Gains: Evasion, Blackmail, Fraud, and Kindred Puzzles of the Law"
0226437396,Mary Kinzie,"A Poet's Guide to Poetry (Chicago Guides to Writing, Editing, and Publishing)"
0226439267,Christiane Klapisch-Zuber,"Women, Family and Ritual in Renaissance Italy"
0226450171,Erazim Kohak,The Embers and the Stars: A Philosophical Inquiry into the Moral Sense of Nature
0226458040,Thomas S. Kuhn,The Structure of Scientific Revolutions
0226462110,Michael Kunze,Highroad to the Stake: A Tale of Witchcraft
0226465551,Robert Kuttner,Everything for Sale: The Virtues and Limits of Markets
0226468011,George Lakoff,Metaphors We Live by
0226468046,George Lakoff,"Women, Fire, and Dangerous Things: What Categories Reveal About the Mind"
0226468259,Laurence Lampert,Leo Strauss and Nietzsche
0226469344,Margaret Laurence,A Bird in the House : Stories (Phoenix Fiction Series)
0226469352,Margaret Laurence,The Diviners
0226469360,Margaret Laurence,The Stone Angel (Phoenix Fiction Series)
0226469409,Homer,The Iliad of Homer
0226469514,Margaret Laurence,The Fire-Dwellers (Phoenix Fiction Series)
0226469522,Margaret Laurence,A Jest of God (Phoenix Fiction)
0226469743,Harold J Leavitt,"Managerial psychology: An introduction to individuals, pairs, and groups in organizations"
0226472035,Thomas McLaughlin,Critical Terms for Literary Study
0226472531,George J. Leonard,Into the Light of Things: The Art of the Commonplace from Wordsworth to John Cage
0226473716,William E. Leuchtenburg,The Perils of Prosperity 1914-1932 (Chicago History of American Civilization)
0226474089,E.H. Levi,Introduction to Legal Reasoning
0226474844,Claude Leevi Strauss,The Savage Mind (Nature of Human Society Series)
0226476812,Richard Warrington Baldwin Lewis,"American Adam: Innocence, Tragedy and Tradition in the Nineteenth Century"
0226482316,David C. Lindberg,"The Beginnings of Western Science: The European Scientific Tradition in Philosophical, Religious, and Institutional Context, 600 B.C. to A.D. 1450"
0226493636,John R. Lott Jr.,"More Guns, Less Crime: Understanding Crime and Gun-Control Laws (Studies in Law and Economics)"
0226493644,John R. Lott Jr.,"More Guns, Less Crime: Understanding Crime and Gun-Control Laws"
0226500365,Niccolo Machiavelli,Discourses on Livy
0226500381,Niccolo Machiavelli,The Prince
0226500551,Norman Maclean,"A River Runs Through It, and Other Stories"
0226500608,Norman Maclean,A River Runs Through It
0226500616,Norman Maclean,Young Men &amp; Fire
0226500667,Norman MacLean,A River Runs Through It and Other Stories
0226503585,Jane Mansbridge,Why We Lost the Era
0226504646,Elizabeth,Elizabeth I: Collected Works
0226509559,Philip Mason,Call the Next Witness
0226510832,Dalene Matthee,Fiela's Child (Phoenix Fiction)
0226511731,Lary May,Screening Out the Past: The Birth of Mass Culture and the Motion Picture Industry
0226511928,Milton Sanford Mayer,"They Thought They Were Free: The Germans, 1933-35"
0226514455,Gail Mazur,They Can't Take That Away from Me (Phoenix Poets)
0226521397,Leonard B. Meyer,Emotion and Meaning in Music
0226524035,Anna J. Michener,Becoming Anna: The Autobiography of a Sixteen-Year-Old
0226532046,W. J. T. Mitchell,The Last Dinosaur Book: The Life and Times of a Cultural Icon
0226534154,Mark Monmonier,How to Lie With Maps
0226536688,Olympia Fulvia Morata,Olympia Morata: The Complete Writings of an Italian Heretic (The Other Voice in Early Modern Europe)
0226539148,John G. Morris,Get the Picture: A Personal History of Photojournalism
0226542378,Cynthia Moss,Elephant Memories: Thirteen Years in the Life of an Elephant Family
0226555526,Doug McAdam,"Political Process and the Development of Black Insurgency, 1930-1970"
0226555844,Kathleen D. McCarthy,"Women's Culture: American Philanthropy and Art, 1830-1930"
0226556697,Deirdre N. McCloskey,Crossing: A Memoir
0226561100,Thomas A. McMahon,Principles of American Nuclear Chemistry: A Novel (Phoenix Fiction)
0226568229,R. K. Narayan,The Mahabharata: A Shortened Modern Prose Version of the Indian Epic
0226568393,R.K. Narayan,Mr Sampath - The Printer of Malgudi (Phoenix Fiction Series)
0226568415,R. K. Narayan,The Financial Expert
0226568571,Sylvan Meyer,Prostate Cancer: Making Survival Decisions
0226571637,Richard K. Nelson,Make Prayers to the Raven: A Koyukon View of the Northern Forest
0226571807,Richard K. Nelson,Shadow of the Hunter
0226572595,Howard Nemerov,Collected Poems of Howard Nemerov
0226583570,Nigel Nicolson,Portrait of a Marriage
0226589331,Elizabeth Noelle-Neumann,Spiral of Silence: Public Opinion-Our Social S
0226616010,Gananath Obeyesekere,Medusa's Hair: An Essay on Personal Symbols and Religious Experience
0226633071,Alfonso Ortiz,"Tewa World Space, Time, Being, and Becoming in a Pue"
0226640000,S O'Sullivan,Folktales of Ireland (Folktales of the World Ser)
0226644308,Craig Packer,Into Africa: With a New Postscript
0226645851,Patricia Parker,"Shakespeare from the Margins: Language, Culture, Context"
0226646114,Robert E. Park,The City
0226650251,John Allen Paulos,Mathematics and Humor
0226668061,E. C. Pielou,The Energy of Nature
0226668150,E. C. Pielou,Fresh Water
0226669521,Clara Pinto-Correia,The Ovary of Eve: Egg and Sperm and Preformation
0226672905,M. Polanyi,"Science, Faith and Society"
0226677141,Anthony Powell,A Dance to the Music of Time: First Movement (Dance to the Music of Time)
0226677168,Anthony Powell,A Dance to the Music of Time: Second Movement (Dance to the Music of Time)
0226677176,Anthony Powell,A Dance to the Music of Time: Third Movement (Dance to the Music of Time)
0226677184,Anthony Powell,A Dance to the Music of Time: Fourth Movement (Dance to the Music of Time)
0226677214,Anthony Powell,To Keep the Ball Rolling: The Memoirs of Anthony Powell
0226680649,Sally Price,Primitive Art in Civilized Places
0226682102,J. B. Priestley,Angel Pavement (Phoenix Fiction)
0226701506,Paul Rabinow,French DNA: Trouble in Purgatory
0226702367,Leonard Radinsky,The Evolution of Vertebrate Design
0226702812,Fazlur Rahman,Islam
0226706133,Victoria Redel,Swoon (Phoenix Poets)
0226706613,Robert Redfield,Chan Kom a Maya Village
0226706702,Robert Redfield,The Little Community and Peasant Society and Culture (Midway Reprint)
0226710319,Terry S. Reynolds,The Engineer in America: A Historical Anthology from Technology and Culture
0226718530,Thomas Riha,"Readings in Russian Civilization: Russian Before Peter the Great, 900-1700 (Russia Before Peter the Great, 900-1700)"
